region,site,date,pm_index,ascospore,incidence,severity,bot_incidence,bot_severity
kern,vestal,4/17/1995,0,,0,0,0,0
kern,vestal,4/28/1995,20,,0,0,0,0
kern,vestal,5/11/1995,100,,0,0,0,0
kern,vestal,5/25/1995,100,,0,0,0,0
kern,vestal,5/31/1995,70,,56,0.01,0,0
kern,vestal,6/8/1995,100,,72,0.15,0,0
kern,vestal,6/16/1995,80,,75,0.78,0,0
kern,vestal,6/22/1995,90,,100,4,0,0
kern,vestal,6/29/1995,80,,100,4.6,0,0
kern,vestal,7/7/1995,0,,100,3.9,0,0
kern,vestal,7/13/1995,40,,100,5.6,,
kern,vestal,7/21/1995,30,,100,5.3,0,0
kern,vestal,7/28/1995,10,,100,3.7,0,0
kern,vestal,8/11/1995,0,,100,0.78,0,0
kern,vestal,8/18/1995,20,,100,0.8,0,0
kern,vestal,8/24/1995,50,,100,0.15,0,0
kern,vestal,8/29/1995,0,,98,0.25,0,0
kern,west delano,4/14/1995,80,,0,0,0,0
kern,west delano,4/26/1995,0,,0,0,0,0
kern,west delano,5/10/1995,100,,0,0,0,0
kern,west delano,5/19/1995,80,,1.25,0,0,0
kern,west delano,5/31/1995,70,,7.5,0.03,0,0
kern,west delano,6/5/1995,90,,2.5,0.004,0,0
kern,west delano,6/14/1995,60,,43,0.55,0,0
kern,west delano,6/21/1995,100,,80,0.36,0,0
kern,west delano,6/28/1995,50,,100,2.7,0,0
kern,west delano,7/6/1995,0,,100,2,0,0
kern,west delano,7/12/1995,0,,100,2.1,0,0
kern,west delano,7/19/1995,30,,100,2.2,0,0
kern,west delano,7/26/1995,0,,100,1.3,0,0
kern,west delano,8/8/1995,0,,100,0.72,0,0
kern,west delano,8/15/1995,0,,100,0.28,2.5,2.6
kern,west delano,8/23/1995,30,,100,0.28,5,0.1
kern,west delano,8/30/1995,,,68,0.13,2.5,2.5
kern,cecil,4/20/1995,0,,0,0,0,0
kern,cecil,4/28/1995,20,,1.25,0,0,0
kern,cecil,5/8/1995,60,,0,0,0,0
kern,cecil,5/24/1995,100,,0,0,0,0
kern,cecil,6/1/1995,40,,63,1.3,0,0
kern,cecil,6/8/1995,80,,83,0.18,0,0
kern,cecil,6/22/1995,60,,100,4.3,0,0
kern,cecil,6/30/1995,0,,100,4.3,0,0
kern,cecil,7/7/1995,0,,100,4.8,0,0
kern,cecil,7/17/1995,10,,100,5.1,0,0
kern,cecil,7/20/1995,0,,100,3.6,0,0
kern,cecil,7/27/1995,0,,100,4.6,0,0
kern,cecil,8/11/1995,0,,78,1.3,0,0
kern,cecil,8/18/1995,20,,100,1.2,0,0
kern,cecil,8/24/1995,60,,63,0.94,0,0
kern,cecil,8/29/1995,10,,80,1.8,0,0
kern,arvin,4/12/1995,100,,0,0,0,0
kern,arvin,4/21/1995,10,,0,0,0,0
kern,arvin,5/4/1995,40,,0,0,0,0
kern,arvin,5/17/1995,60,,0,0,0,0
kern,arvin,5/30/1995,80,,87.5,0.05,0,0
kern,arvin,6/5/1995,20,,70,0.03,0,0
kern,arvin,6/13/1995,30,,97.5,0.07,0,0
kern,arvin,6/20/1995,90,,85,0.46,0,0
kern,arvin,6/27/1995,70,,85,0.33,0,0
kern,arvin,7/4/1995,60,,100,0.51,0,0
kern,arvin,7/24/1995,60,,62.5,0.58,15,0.2
kern,wheeler ridge,4/12/1995,100,,0,0,0,0
kern,wheeler ridge,4/21/1995,20,,0,0,0,0
kern,wheeler ridge,5/12/1995,100,,0,0,0,0
kern,wheeler ridge,5/24/1995,100,,0,0,0,0
kern,wheeler ridge,6/2/1995,50,,1.3,0.05,0,0
kern,wheeler ridge,6/7/1995,90,,53,0.06,0,0
kern,wheeler ridge,6/13/1995,60,,79,0.09,0,0
kern,wheeler ridge,6/20/1995,100,,92,0.55,0,0
kern,wheeler ridge,6/26/1995,100,,100,0.74,0,0
kern,wheeler ridge,7/5/1995,60,,100,0.88,0,0
kern,wheeler ridge,7/11/1995,80,,100,0.93,0,0
kern,wheeler ridge,7/18/1995,90,,75,0.73,0,0
kern,wheeler ridge,7/24/1995,30,,83,0.83,5,0.04
kern,edison,4/13/1995,80,,1.3,0,0,0
kern,edison,4/24/1995,10,,1.3,0,0,0
kern,edison,5/5/1995,90,,0,0,0,0
kern,edison,5/18/1995,70,,0,0,0,0
kern,edison,6/2/1995,90,,53,0,0,0
kern,edison,6/7/1995,70,,20,0,0,0
kern,edison,6/15/1995,80,,38,0,0,0
kern,edison,6/21/1995,100,,53,0.07,0,0
kern,edison,6/27/1995,100,,55,0.03,0,0
kern,edison,7/6/1995,80,,92,0.45,0,0
kern,edison,7/11/1995,80,,78,0.32,0,0
kern,edison,7/18/1995,100,,60,0.26,0,0
kern,edison,7/25/1995,70,,48,0.41,5,0.05
kern,lerdo,4/14/1995,90,,0,0,0,0
kern,lerdo,4/27/1995,20,,0,0,0,0
kern,lerdo,5/5/1995,90,,0,0,0,0
kern,lerdo,5/23/1995,80,,0,0,0,0
kern,lerdo,6/1/1995,90,,58,0.01,0,0
kern,lerdo,6/9/1995,100,,70,0.14,0,0
kern,lerdo,6/14/1995,60,,98,0.65,0,0
kern,lerdo,6/19/1995,100,,95,1.1,0,0
kern,lerdo,6/28/1995,70,,100,2.7,0,0
kern,lerdo,7/8/1995,20,,98,2.1,0,0
kern,lerdo,7/14/1995,60,,98,1.7,0,0
kern,lerdo,7/25/1995,30,,65,1.2,5,5
kern,lerdo,8/8/1995,90,,60,0.32,0,0
kern,lerdo,8/15/1995,20,,38,0,0,0
kern,lerdo,8/21/1995,10,,33,0,2.5,0.04
kern,lerdo,8/28/1995,0,,40,0.07,0,0
sonoma,gallo,6/19/1995,50,,0,0,0,0
sonoma,gallo,6/26/1995,10,,0,0,0,0
sonoma,gallo,7/3/1995,90,,0,0,0,0
sonoma,gallo,7/11/1995,90,,0,0,0,0
sonoma,gallo,7/21/1995,100,,3,1,0,0
sonoma,gallo,7/26/1995,100,,0,0,0,0
sonoma,gallo,8/1/1995,40,,0,0,0,0
sonoma,gallo,8/8/1995,60,,0,0,0,0
sonoma,gallo,8/15/1995,20,,0,0,0,0
sonoma,gallo,8/22/1995,40,,0,0,0,0
sonoma,gallo,8/29/1995,0,,0,0,0,0
sonoma,gallo,9/12/1995,10,,0,0,35,6
sonoma,srjc,6/26/1995,10,,7,1,0,0
sonoma,srjc,7/3/1995,40,,68,1,0,0
sonoma,srjc,7/11/1995,50,,78,2,0,0
sonoma,srjc,7/18/1995,70,,98,3,2,3
sonoma,srjc,7/27/1995,60,,91,1,5,8
sonoma,srjc,8/9/1995,40,,90,1,0,0
sonoma,srjc,8/16/1995,30,,63,2,0,0
sonoma,srjc,8/25/1995,30,,59,7,0,0
sonoma,srjc,9/1/1995,20,,63,2,0,0
sonoma,srjc,9/15/1995,70,,71,4,10,5
sonoma,kendall jackson,6/19/1995,0,,0,0,0,0
sonoma,kendall jackson,6/26/1995,0,,10,2,0,0
sonoma,kendall jackson,7/6/1995,40,,14,1,12,3
sonoma,kendall jackson,7/11/1995,20,,21,2,12,3
sonoma,kendall jackson,7/18/1995,40,,38,3,12,7
sonoma,kendall jackson,7/27/1995,10,,17,2,12,3
sonoma,kendall jackson,8/9/1995,0,,8,2,5,63
sonoma,kendall jackson,8/16/1995,20,,5,2,8,6
sonoma,kendall jackson,8/25/1995,0,,3,3,10,9
sonoma,kendall jackson,9/1/1995,0,,3,1,8,8
